respondent_id,age_group,gender,occupation,monthly_income,region,current_smartphone_brand,current_phone_spend,smartphone_replacement_frequency,typical_smartphone_budget,purchase_channel,price_importance,brand_reputation,performance_importance,camera_importance,battery_importance,storage_importance,display_importance,design_importance,online_reviews_importance,recommendations_importance,discounts_importance,after_sales_importance,connectivity_importance,ai_features_importance,price_statement_agreement,less_expensive_choice_likelihood,budget_stretch_likelihood,online_review_check_frequency,recommendation_influence,future_same_brand_likelihood,current_brand_satisfaction,previous_brand_experience_importance,purchase_next_12_months,greatest_purchase_driver,desired_improvement
R011,25–34,Male,Student,"Below ₹25,000",North India,Samsung,"Below ₹10,000",3–4 years,"Below ₹10,000",Online marketplace,3,4,5,4,4,4,4,2,4,4,5,3,3,4,4,4,4,Rarely,4,1,3,3,3,Performance,Better camera quality
R012,55 and above,Male,Professional,"₹50,000–₹74,999",South India,Nothing,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,4,5,3,4,4,3,3,2,3,4,3,3,4,3,4,4,4,Rarely,4,3,4,3,3,Price,Better after-sales service
R013,35–44,Prefer not to say,Self-employed / Business,Prefer not to say,East India,Samsung,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,3,3,5,4,3,3,3,3,4,5,4,3,2,2,4,3,5,Always,4,2,3,3,4,Performance,Better battery life
R014,45–54,Female,Student,"₹75,000–₹99,999",North India,Apple,"₹75,000–₹99,999",Only when my current phone stops meeting my needs,"₹75,000–₹99,999",Online marketplace,2,3,3,4,4,3,4,3,3,3,5,3,4,3,3,5,5,Sometimes,4,2,3,4,2,Discounts / Offers,Faster charging
R015,25–34,Female,Student,"₹50,000–₹74,999",South India,OPPO,"₹75,000–₹99,999",Only when my current phone stops meeting my needs,"₹75,000–₹99,999",Online marketplace,4,4,4,3,4,3,4,4,5,4,5,3,4,4,3,3,4,Sometimes,4,2,4,3,3,Discounts / Offers,Better after-sales service
R016,18–24,Female,Student,"₹25,000–₹49,999",Central India,Motorola,"Below ₹10,000",3–4 years,"Below ₹10,000",Physical electronics store,2,4,4,3,4,3,3,4,2,3,4,3,4,4,3,3,4,Never,4,4,5,4,3,Battery life,Lower prices
R017,25–34,Male,Retired,"₹1,50,000 or above",South India,Samsung,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Brand showroom,2,4,3,4,3,4,3,4,2,5,3,3,3,4,2,3,5,Rarely,3,2,3,3,3,Design,Better battery life
R018,18–24,Female,Salaried employee,"₹50,000–₹74,999",West India,Samsung,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,2,3,4,3,3,4,3,4,3,5,4,4,4,4,3,3,5,Sometimes,4,4,4,4,4,Recommendations,Faster charging
R019,45–54,Male,Professional,"Below ₹25,000",South India,Samsung,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Brand's official online store,4,4,4,3,3,3,3,4,2,2,5,2,2,2,4,5,4,Rarely,4,3,5,5,3,Discounts / Offers,More durable design
R020,35–44,Male,Salaried employee,"₹25,000–₹49,999",South India,Xiaomi,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,2,4,4,3,4,4,4,4,5,3,3,5,4,3,2,2,5,Often,3,4,5,4,5,Connectivity,Better camera quality
R021,35–44,Female,Salaried employee,No personal income,West India,OnePlus,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Other,3,5,4,3,2,4,4,4,3,4,4,3,3,2,4,3,4,Rarely,2,4,4,5,4,Brand reputation,Better performance
R022,25–34,Female,Student,"Below ₹25,000",North India,Samsung,"Below ₹10,000",3–4 years,"Below ₹10,000",Brand's official online store,2,4,5,3,3,3,4,4,4,3,5,4,2,2,3,2,5,Sometimes,4,5,4,3,4,Discounts / Offers,Faster charging
R023,55 and above,Male,Homemaker,No personal income,North India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand showroom,4,5,4,3,3,4,3,5,3,3,5,3,3,3,3,3,4,Rarely,5,3,5,5,4,Discounts / Offers,Better camera quality
R024,45–54,Female,Salaried employee,"₹25,000–₹49,999",Northeast India,Xiaomi,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Brand showroom,3,5,4,4,5,3,3,4,3,5,4,3,3,3,4,3,4,Sometimes,5,5,4,4,4,Recommendations,Longer software support
R025,35–44,Female,Salaried employee,"₹50,000–₹74,999",Central India,Nothing,"₹30,000–₹49,999",Only when my current phone stops meeting my needs,"₹30,000–₹49,999",Physical electronics store,5,4,4,4,4,4,4,3,2,4,4,3,3,4,4,5,4,Rarely,4,5,4,5,4,Price,Lower prices
R026,18–24,Female,Self-employed / Business,"₹25,000–₹49,999",West India,Vivo,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,4,5,4,5,3,4,4,3,4,4,4,4,4,4,4,4,5,Sometimes,5,1,3,3,3,Brand reputation,Better battery life
R027,25–34,Female,Salaried employee,"₹25,000–₹49,999",North India,Xiaomi,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,2,4,4,4,4,3,4,4,3,3,4,3,2,3,3,2,4,Sometimes,4,2,4,4,5,Discounts / Offers,More durable design
R028,18–24,Male,Homemaker,"₹1,50,000 or above",North India,Apple,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Online marketplace,3,3,4,3,3,4,3,4,3,4,4,4,2,2,4,3,3,Rarely,4,1,3,4,4,Design,Better camera quality
R029,18–24,Male,Student,"₹75,000–₹99,999",North India,Samsung,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,2,4,3,4,4,4,4,3,4,4,4,3,4,3,3,3,4,Sometimes,4,3,4,4,5,Discounts / Offers,Better after-sales service
R030,35–44,Male,Salaried employee,"₹50,000–₹74,999",Northeast India,Samsung,"₹1,00,000 or above",1–2 years,"₹1,00,000 or above",Online marketplace,3,5,3,4,3,3,3,4,3,4,3,3,4,2,4,4,4,Sometimes,4,4,5,5,4,Design,Better performance
R031,35–44,Female,Salaried employee,"₹25,000–₹49,999",West India,Realme,"₹75,000–₹99,999",3–4 years,"₹75,000–₹99,999",Online marketplace,3,5,3,4,4,4,4,2,3,4,5,3,3,1,3,4,4,Sometimes,3,2,4,3,3,Discounts / Offers,Better performance
R032,55 and above,Female,Salaried employee,"₹1,00,000–₹1,49,999",East India,Motorola,"₹50,000–₹74,999",3–4 years,"₹50,000–₹74,999",Brand's official online store,2,4,4,5,3,4,3,4,3,3,3,4,3,3,3,3,4,Sometimes,2,4,5,5,4,Camera quality,Lower prices
R033,25–34,Male,Student,"Below ₹25,000",Northeast India,Google Pixel,"Below ₹10,000",1–2 years,"Below ₹10,000",Brand's official online store,4,4,4,3,3,3,3,4,4,5,4,2,4,2,4,4,4,Often,5,5,5,4,4,Recommendations,Lower prices
R034,25–34,Male,Student,"₹25,000–₹49,999",North India,Nothing,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Physical electronics store,2,5,4,4,4,4,3,3,4,4,4,3,4,4,2,3,5,Sometimes,3,5,5,5,4,Brand reputation,More durable design
R035,25–34,Male,Salaried employee,"₹1,00,000–₹1,49,999",East India,Nothing,"₹1,00,000 or above",3–4 years,"₹1,00,000 or above",Online marketplace,4,3,5,4,4,2,4,5,4,5,5,2,3,4,1,1,4,Sometimes,3,3,5,3,5,Performance,Longer software support
R036,18–24,Female,Salaried employee,"₹50,000–₹74,999",North India,Nothing,"₹20,000–₹29,999",Less than 1 year,"₹20,000–₹29,999",Online marketplace,2,4,5,3,3,3,5,3,4,3,3,3,4,3,2,3,4,Sometimes,3,2,4,4,4,Display,Faster charging
R037,18–24,Female,Salaried employee,"₹75,000–₹99,999",North India,Apple,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,2,4,4,4,4,4,3,3,5,4,3,3,3,4,2,4,4,Always,4,3,5,3,4,Battery life,Lower prices
R038,25–34,Male,Salaried employee,"₹50,000–₹74,999",Northeast India,Apple,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,5,5,3,4,3,4,3,4,2,3,4,2,3,3,5,4,2,Rarely,5,3,4,4,3,Brand reputation,Better camera quality
R039,18–24,Male,Salaried employee,"₹50,000–₹74,999",Central India,Samsung,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Other,4,4,5,3,4,3,3,2,4,4,5,3,3,2,4,4,3,Often,5,1,3,4,3,Performance,Better battery life
R040,35–44,Female,Salaried employee,"₹25,000–₹49,999",North India,Xiaomi,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Physical electronics store,5,4,4,3,4,4,3,3,2,3,3,2,3,3,5,5,2,Never,2,2,4,4,4,Price,Faster charging
R041,25–34,Male,Salaried employee,"₹25,000–₹49,999",North India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand showroom,5,4,4,2,4,3,4,4,4,4,4,3,3,3,5,5,4,Sometimes,4,4,4,4,3,Online reviews,Lower prices
R042,45–54,Female,Salaried employee,"₹25,000–₹49,999",East India,Motorola,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,3,5,4,3,3,3,3,3,4,4,5,4,3,2,3,3,4,Always,4,3,4,4,5,Discounts / Offers,Better performance
R043,35–44,Male,Salaried employee,"Below ₹25,000",North India,Vivo,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,2,4,3,4,4,4,3,3,4,3,4,4,3,4,3,4,4,Sometimes,5,2,5,3,2,Online reviews,Lower prices
R044,25–34,Male,Salaried employee,"₹1,00,000–₹1,49,999",East India,Xiaomi,"₹75,000–₹99,999",Less than 1 year,"₹75,000–₹99,999",Online marketplace,1,5,3,3,4,3,2,4,4,4,3,4,3,2,2,2,3,Sometimes,4,3,5,4,4,After-sales service,Lower prices
R045,45–54,Female,Student,"₹25,000–₹49,999",East India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand's official online store,3,4,4,3,5,3,3,4,3,3,4,3,4,3,2,3,3,Rarely,3,2,4,3,5,Battery life,Longer software support
R046,45–54,Male,Salaried employee,"₹50,000–₹74,999",North India,Samsung,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand showroom,4,4,3,3,4,3,2,4,3,3,4,2,3,2,2,3,5,Sometimes,4,4,5,5,2,Battery life,Better performance
R047,25–34,Male,Salaried employee,"₹75,000–₹99,999",North India,Apple,"₹50,000–₹74,999",1–2 years,"₹50,000–₹74,999",Online marketplace,2,4,5,3,4,2,4,3,5,5,4,3,3,4,2,4,3,Sometimes,3,3,5,5,5,Recommendations,More useful AI features
R048,18–24,Male,Salaried employee,"₹75,000–₹99,999",North India,Motorola,"₹50,000–₹74,999",1–2 years,"₹50,000–₹74,999",Brand's official online store,2,5,3,3,5,3,5,3,3,4,5,3,3,3,2,2,5,Rarely,5,5,5,5,3,Display,Better battery life
R049,35–44,Male,Salaried employee,"₹25,000–₹49,999",Northeast India,Xiaomi,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,4,4,3,4,4,4,3,3,3,5,4,4,4,3,3,3,3,Sometimes,4,4,4,5,3,Discounts / Offers,Better performance
R050,18–24,Male,Salaried employee,"₹25,000–₹49,999",South India,OPPO,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,3,5,4,3,4,4,2,3,4,4,3,4,2,2,2,1,5,Sometimes,4,4,4,3,4,Performance,Better battery life
R051,18–24,Male,Self-employed / Business,Prefer not to say,East India,Samsung,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,4,4,5,3,4,3,4,3,3,4,5,4,4,3,3,4,3,Rarely,2,3,5,2,5,Performance,Faster charging
R052,18–24,Male,Salaried employee,"₹50,000–₹74,999",North India,OnePlus,"₹50,000–₹74,999",More than 4 years,"₹50,000–₹74,999",Online marketplace,2,5,4,4,3,2,3,3,2,4,3,3,3,4,2,3,5,Rarely,4,4,5,4,4,Brand reputation,Longer software support
R053,35–44,Male,Salaried employee,"₹75,000–₹99,999",West India,OnePlus,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand showroom,5,5,4,4,3,3,4,3,3,2,4,3,4,4,5,4,5,Rarely,5,3,4,3,4,Brand reputation,Lower prices
R054,35–44,Female,Salaried employee,"₹1,00,000–₹1,49,999",North India,Realme,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,2,4,3,4,3,4,3,2,4,5,3,3,3,3,3,2,3,Sometimes,5,4,3,4,4,Camera quality,Faster charging
R055,35–44,Female,Professional,"₹75,000–₹99,999",North India,Realme,"₹30,000–₹49,999",Only when my current phone stops meeting my needs,"₹30,000–₹49,999",Physical electronics store,4,3,3,3,4,3,3,4,4,4,3,3,3,2,3,4,4,Sometimes,3,3,4,5,5,Price,Lower prices
R056,35–44,Male,Salaried employee,"Below ₹25,000",West India,Samsung,"Below ₹10,000",1–2 years,"Below ₹10,000",Physical electronics store,2,5,3,4,4,4,3,4,4,4,3,5,5,3,1,3,3,Sometimes,4,5,5,5,4,Storage,Better camera quality
R057,25–34,Male,Salaried employee,"₹50,000–₹74,999",West India,Google Pixel,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,5,4,3,3,4,4,4,5,4,4,4,2,3,5,4,5,3,Often,3,5,5,4,4,Price,Lower prices
R058,25–34,Male,Salaried employee,"Below ₹25,000",North India,Apple,"Below ₹10,000",3–4 years,"Below ₹10,000",Online marketplace,4,4,4,5,4,4,3,3,4,4,4,3,4,3,4,4,3,Sometimes,5,4,5,4,4,Camera quality,Better battery life
R059,18–24,Female,Salaried employee,"₹50,000–₹74,999",South India,Motorola,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,3,4,3,3,4,3,3,4,3,3,3,4,3,4,3,2,4,Sometimes,4,3,5,4,2,AI / Smart features,Better after-sales service
R060,18–24,Female,Salaried employee,"₹1,50,000 or above",Northeast India,Apple,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Online marketplace,1,4,3,5,4,4,3,4,4,5,2,2,4,3,2,2,4,Sometimes,3,4,5,4,5,Recommendations,Faster charging
R061,35–44,Male,Self-employed / Business,"₹50,000–₹74,999",North India,Samsung,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Brand showroom,4,4,4,3,3,3,2,3,3,4,3,3,3,3,4,4,4,Sometimes,4,2,4,4,3,Brand reputation,Faster charging
R062,25–34,Male,Professional,"₹25,000–₹49,999",North India,Motorola,"₹20,000–₹29,999",Less than 1 year,"₹20,000–₹29,999",Online marketplace,3,4,3,5,4,4,4,4,2,4,3,3,4,4,3,1,4,Sometimes,2,2,5,5,5,Camera quality,More durable design
R063,25–34,Male,Homemaker,No personal income,South India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand's official online store,5,4,4,4,4,3,2,4,5,5,4,3,3,3,4,5,4,Always,4,2,3,4,3,Online reviews,Faster charging
R064,35–44,Male,Salaried employee,"₹1,50,000 or above",North India,OnePlus,"₹30,000–₹49,999",Only when my current phone stops meeting my needs,"₹30,000–₹49,999",Physical electronics store,4,4,4,3,3,4,3,4,3,5,5,2,3,2,5,5,3,Sometimes,4,4,4,5,4,Price,Lower prices
R065,35–44,Female,Salaried employee,"Below ₹25,000",West India,OnePlus,"Below ₹10,000",Only when my current phone stops meeting my needs,"Below ₹10,000",Online marketplace,4,4,4,3,4,4,4,3,2,4,4,4,3,2,4,4,3,Rarely,4,2,3,3,3,After-sales service,Better battery life
R066,25–34,Male,Professional,No personal income,West India,Samsung,"₹20,000–₹29,999",Less than 1 year,"₹20,000–₹29,999",Online marketplace,1,4,4,4,4,3,4,3,4,3,4,4,3,4,1,2,5,Sometimes,3,3,5,5,5,Brand reputation,Lower prices
R067,25–34,Male,Salaried employee,"₹25,000–₹49,999",East India,OPPO,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Other,3,3,5,4,4,4,4,2,5,3,4,4,3,4,3,3,4,Sometimes,4,1,4,4,4,Performance,Better after-sales service
R068,25–34,Male,Professional,No personal income,East India,Motorola,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,5,Rarely,4,2,3,4,5,Discounts / Offers,Better after-sales service
R069,18–24,Female,Salaried employee,"₹25,000–₹49,999",South India,Motorola,"₹30,000–₹49,999",More than 4 years,"₹30,000–₹49,999",Online marketplace,5,4,4,4,4,3,4,3,4,5,4,3,4,5,3,5,4,Often,3,4,5,5,4,AI / Smart features,Faster charging
R070,25–34,Male,Student,"₹50,000–₹74,999",West India,Samsung,"₹10,000–₹19,999",Less than 1 year,"₹10,000–₹19,999",Online marketplace,4,4,4,4,4,4,4,3,3,4,4,3,3,3,5,3,3,Sometimes,4,3,5,4,4,Camera quality,Better camera quality
R071,18–24,Female,Student,"₹25,000–₹49,999",North India,Xiaomi,"₹20,000–₹29,999",More than 4 years,"₹20,000–₹29,999",Online marketplace,1,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,5,Rarely,4,4,5,2,2,Design,Better camera quality
R072,25–34,Male,Professional,No personal income,North India,Samsung,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Physical electronics store,4,5,4,3,3,3,4,5,5,4,4,5,2,4,3,3,4,Often,5,5,5,3,4,Design,More durable design
R073,45–54,Female,Student,"Below ₹25,000",West India,Samsung,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Physical electronics store,5,4,4,3,4,4,4,3,4,3,4,3,5,3,4,4,4,Often,4,3,4,5,4,Connectivity,Better battery life
R074,18–24,Male,Salaried employee,"₹25,000–₹49,999",South India,Apple,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Online marketplace,1,5,4,4,4,3,3,4,2,4,3,3,4,2,1,2,5,Rarely,3,5,5,5,4,Battery life,Better performance
R075,18–24,Female,Salaried employee,No personal income,North India,Google Pixel,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Physical electronics store,3,5,4,4,4,3,2,3,5,3,5,4,4,2,3,3,4,Always,5,2,3,5,4,Online reviews,Lower prices
R076,18–24,Female,Student,"₹75,000–₹99,999",South India,Motorola,"₹50,000–₹74,999",1–2 years,"₹50,000–₹74,999",Online marketplace,4,4,4,5,3,4,4,3,4,4,4,3,3,4,3,4,4,Often,3,1,3,4,3,Storage,Better camera quality
R077,18–24,Prefer not to say,Salaried employee,"Below ₹25,000",West India,Realme,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,2,5,4,4,3,2,4,3,3,4,4,3,3,3,3,4,4,Sometimes,4,5,4,4,4,Discounts / Offers,Longer software support
R078,35–44,Female,Self-employed / Business,"₹25,000–₹49,999",North India,Xiaomi,"₹20,000–₹29,999",More than 4 years,"₹20,000–₹29,999",Brand's official online store,2,4,3,4,4,4,4,4,5,5,4,3,4,3,2,1,5,Always,4,1,4,4,5,Online reviews,More useful AI features
R079,25–34,Female,Student,"₹25,000–₹49,999",West India,Xiaomi,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Other,3,4,3,4,4,3,3,3,4,5,4,3,3,4,2,3,4,Sometimes,4,1,4,4,2,Recommendations,Faster charging
R080,35–44,Female,Professional,"₹25,000–₹49,999",West India,Xiaomi,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,5,4,3,4,3,3,4,4,4,3,4,4,3,3,3,4,Sometimes,4,4,4,3,4,Online reviews,Lower prices
R081,35–44,Female,Professional,No personal income,West India,Xiaomi,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,3,5,4,3,4,4,4,3,3,4,4,4,5,4,2,3,4,Rarely,4,3,5,5,3,Performance,Lower prices
R082,25–34,Male,Salaried employee,"Below ₹25,000",North India,OnePlus,"Below ₹10,000",1–2 years,"Below ₹10,000",Online marketplace,2,3,3,3,3,4,3,3,5,3,3,4,3,2,3,3,4,Often,4,3,5,5,3,Online reviews,Better after-sales service
R083,45–54,Female,Student,"₹1,00,000–₹1,49,999",West India,Apple,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Physical electronics store,2,5,4,3,3,3,2,2,4,3,3,3,3,3,2,1,3,Sometimes,4,3,5,4,4,Online reviews,Better performance
R084,18–24,Male,Salaried employee,No personal income,North India,Apple,"Below ₹10,000",1–2 years,"Below ₹10,000",Online marketplace,2,5,4,4,3,4,4,4,4,4,3,3,3,4,3,5,4,Sometimes,5,5,5,5,5,Online reviews,Better performance
R085,18–24,Female,Student,"₹50,000–₹74,999",Central India,Nothing,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,3,4,3,4,4,3,2,4,3,2,4,4,4,2,4,4,5,Rarely,3,3,4,3,4,Connectivity,Longer software support
R086,18–24,Male,Salaried employee,"₹25,000–₹49,999",West India,Xiaomi,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Physical electronics store,3,4,5,4,5,3,3,3,5,4,4,3,4,3,3,3,4,Sometimes,4,1,3,5,4,Battery life,Better camera quality
R087,35–44,Male,Homemaker,"₹25,000–₹49,999",North India,Nothing,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Online marketplace,2,4,4,4,4,3,4,5,3,3,3,3,3,2,2,4,5,Sometimes,4,4,4,5,4,Design,Better battery life
R088,25–34,Female,Other,"₹25,000–₹49,999",West India,Apple,"₹75,000–₹99,999",1–2 years,"₹75,000–₹99,999",Online marketplace,3,4,4,4,3,4,5,5,2,4,5,4,3,3,3,3,2,Rarely,3,4,4,4,4,Design,More durable design
R089,18–24,Male,Self-employed / Business,"₹75,000–₹99,999",East India,Xiaomi,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,1,4,4,4,4,4,2,3,2,3,4,3,3,4,2,2,5,Rarely,2,4,4,4,4,Brand reputation,Better performance
R090,25–34,Male,Salaried employee,"₹1,00,000–₹1,49,999",South India,Samsung,"₹50,000–₹74,999",3–4 years,"₹50,000–₹74,999",Online marketplace,3,3,5,4,4,4,3,3,4,4,5,4,4,5,5,4,4,Often,5,2,3,3,3,Discounts / Offers,Better battery life
R091,18–24,Male,Self-employed / Business,"₹25,000–₹49,999",South India,Samsung,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,4,4,4,4,4,3,3,4,2,3,4,4,3,3,4,4,4,Never,3,2,4,4,3,Price,Better camera quality
R092,35–44,Male,Self-employed / Business,"₹25,000–₹49,999",East India,Apple,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Physical electronics store,4,5,3,3,4,4,5,3,3,5,5,3,3,3,4,3,4,Sometimes,5,4,4,3,4,Display,More useful AI features
R093,25–34,Male,Salaried employee,"₹25,000–₹49,999",West India,Apple,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Brand's official online store,4,3,4,4,3,4,3,5,4,4,4,4,4,3,4,4,3,Sometimes,3,4,4,5,3,Design,Longer software support
R094,25–34,Male,Salaried employee,"₹25,000–₹49,999",Central India,Google Pixel,"₹50,000–₹74,999",More than 4 years,"₹50,000–₹74,999",Physical electronics store,1,3,4,4,4,4,3,4,5,4,2,4,3,3,2,2,4,Always,4,1,4,4,3,Online reviews,Longer software support
R095,25–34,Male,Student,"₹50,000–₹74,999",North India,Samsung,"₹50,000–₹74,999",1–2 years,"₹50,000–₹74,999",Other,1,4,5,3,4,4,4,4,3,4,3,2,3,3,1,2,5,Sometimes,5,3,4,5,3,Battery life,Better battery life
R096,35–44,Male,Salaried employee,"Below ₹25,000",West India,Vivo,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Online marketplace,4,5,4,3,4,4,3,4,4,3,4,3,3,3,4,4,4,Often,5,4,4,4,4,Price,More useful AI features
R097,25–34,Male,Salaried employee,"₹25,000–₹49,999",West India,OnePlus,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,Sometimes,4,2,2,3,3,Price,Better after-sales service
R098,18–24,Female,Student,"₹1,50,000 or above",West India,OnePlus,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Brand showroom,3,5,4,3,3,3,2,4,4,4,4,3,4,4,3,5,3,Sometimes,4,5,5,4,4,Discounts / Offers,Better performance
